"user_id","language","annotation_type","attribute","alternative","created_at","updated_at"
"6","greek","token","pos","Parole","2016-05-24 22:44:09","2016-05-24 22:49:56"
"8","greek","token","pos","Parole","2016-05-24 22:47:29","2016-05-24 22:47:29"
"7","english","sentiment","polarity",,"2016-05-27 00:43:36","2016-05-27 00:46:03"
"11","greek","token","pos","HBrill","2016-10-28 03:22:08","2016-10-28 14:33:42"
"12","greek","token","pos","HBrill","2016-11-23 19:15:09","2017-07-03 20:59:55"
"14","greek","entity|polarity_manual","type","Intellitech","2016-11-24 11:45:19","2017-07-24 11:49:20"
"18","english","name",,,"2017-07-04 11:58:33","2017-07-17 20:41:56"
"23","english","token","case",,"2017-09-17 01:21:54","2017-09-17 01:23:02"
"2","neutral","argument","type","Generic","2020-06-12 19:09:13","2021-05-11 09:49:29"
"1","neutral","argument","type","Generic","2020-06-15 10:40:23","2021-02-04 10:34:44"
"37","greek","token","pos","HBrill","2020-07-16 11:57:51","2020-07-30 08:28:38"
"38","greek","sentence","constituents",,"2020-07-30 08:24:46","2020-07-30 08:26:31"
"41","greek","sentence","pos",,"2020-07-30 08:28:47","2020-08-07 12:05:06"
"46","neutral","aspect|polarity","type","Generic","2020-08-31 15:26:03","2020-08-31 15:26:03"
"42","neutral","argument","type",,"2020-09-07 09:55:54","2020-09-23 21:06:11"
"50","greek","token","pos","HBrill","2020-09-23 21:18:11","2021-05-21 08:27:41"
"52","english","name","type",,"2020-10-20 21:58:00","2020-10-20 21:58:00"
"43","neutral","argument","type","Generic","2020-11-12 16:00:47","2021-04-07 07:45:36"
"58","neutral","VAST_value","type","Generic","2021-03-16 11:19:47","2021-05-17 14:13:04"
"60","neutral","VAST_value","type","Generic","2021-03-22 12:34:09","2021-05-21 08:32:18"
"78","neutral","VAST_value","type","Generic","2021-04-26 14:33:08","2021-04-29 11:35:05"
"85","neutral","VAST_value","type","Generic","2021-04-29 11:19:32","2021-05-07 11:57:42"
"88","neutral","VAST_value","type","Generic","2021-04-30 08:06:27","2021-05-06 08:45:03"
"64","neutral","VAST_value","type","Generic","2021-05-06 08:43:54","2021-05-17 13:28:06"
"77","neutral","VAST_value","type","Generic","2021-05-10 11:23:11","2021-05-20 12:30:22"
"76","neutral","VAST_value","type","Generic","2021-05-12 12:26:49","2021-05-12 12:26:49"
