"user_id","language","annotation_type","alternative","created_at","updated_at"
"7","neutral","argument+polarity","Simple","2016-05-27 00:28:41","2018-02-05 11:58:50"
"9","neutral","argument+polarity","Simple","2016-05-27 00:37:24","2016-05-27 15:57:21"
"11","greek","polarity","NOMAD","2016-10-28 03:27:29","2016-10-28 04:17:58"
"12","greek","argument","Mandenaki","2016-11-23 19:06:11","2017-07-03 19:50:38"
"14","greek","argument","Mandenaki","2016-11-24 12:01:19","2017-07-26 14:52:01"
"13","greek","argument","Mandenaki","2016-11-26 14:29:02","2018-02-05 12:10:41"
"18","greek","argument","Mandenaki","2017-07-04 14:33:42","2017-09-18 20:22:54"
"20","greek","argument","Mandenaki","2017-07-20 16:13:29","2018-02-05 11:59:45"
"2","neutral","aspect+polarity","Games","2020-06-12 19:39:15","2021-04-09 22:08:37"
"1","neutral","aspect+polarity","Games","2020-06-15 10:27:36","2021-02-04 10:37:28"
"42","greek","polarity",,"2020-07-23 16:59:45","2020-09-23 13:53:25"
"37","greek","argument","Mandenaki","2020-07-30 08:24:10","2020-07-30 09:03:48"
"38","greek","argument","Mandenaki","2020-07-30 08:51:20","2020-07-30 09:02:47"
"39","greek","argument","Mandenaki","2020-07-30 09:01:48","2020-07-30 09:01:48"
"36","greek","argument","Mandenaki","2020-07-30 09:02:11","2020-07-30 09:34:23"
"43","greek","argument","Mandenaki","2020-07-30 09:29:32","2021-04-01 15:24:49"
"41","EN-EL","translation",,"2020-08-07 11:59:33","2020-08-07 11:59:33"
"46","neutral","aspect+polarity","Generic","2020-08-31 15:43:10","2021-03-12 13:55:49"
"47","neutral","aspect+polarity","Generic","2020-08-31 15:54:53","2020-12-14 17:57:55"
"48","neutral","aspect+polarity","Generic","2020-09-04 19:16:04","2020-09-11 11:14:39"
"50","neutral","aspect+polarity","Games","2020-09-24 08:35:35","2021-05-19 08:57:48"
"52","english",,,"2020-10-20 21:59:05","2020-10-20 21:59:05"
"53","neutral","aspect+polarity","Games","2020-12-13 10:54:15","2021-05-19 14:37:34"
"58","greek","argument","Mandenaki","2021-03-10 09:12:27","2021-05-07 12:40:55"
"60","neutral","aspect+polarity","Games","2021-03-22 16:59:31","2021-04-09 21:44:56"
